Question,Answer
1,T
2,T
3,F
4,F
5,F
6,T
7,F
8,F
9,T
10,F
11,F
12,F
13,F
14,T
15,F
16,F
17,F
18,F
19,F
20,F
21,T
22,T
23,F
24,T
25,T
26,T
27,F
28,F
29,F
30,T
31,T
32,T
33,T
34,T
35,F
36,T
37,T
38,F
39,F
40,F
41,F
42,T
43,T
44,T
45,F
46,F
47,F
48,F
49,F
50,F
51,T
52,T
53,F
54,F
55,F
56,F
57,F
58,F
59,T
60,T
61,F
62,F
63,T
64,F
65,T
66,F
67,T
68,F
69,T
70,F
71,F
72,F
73,T
74,F
75,T
76,F
77,F
78,T
79,F
80,T
81,T
82,F
83,T
84,T
85,T
86,T
87,T
88,F
89,F
90,T
91,F
92,T
93,F
94,T
95,F
96,F
97,T
98,F
99,T
100,T
101,F
102,T
103,T
104,T
105,T
106,T
107,T
108,F
109,F
110,T
111,T
112,F
113,F
114,T
115,F
116,F
117,F
118,T
119,T
120,F
121,F
122,T
123,T
124,F
125,T
126,T
127,T
128,T
129,T
130,F
131,F
132,F
133,T
134,F
135,T
136,T
137,T
138,F
139,T
140,T
141,F
142,T
143,T
144,F
145,T
146,F
147,T
148,F
149,F
150,F
151,T
152,T
153,T
154,F
155,T
156,F
157,F
158,T
159,F
160,F
161,T
162,F
163,T
164,F
165,F
166,T
167,F
168,T
169,T
170,F
171,F
172,F
173,F
174,T
175,T
176,F
177,F
178,F
179,F
180,F
181,F
182,T
183,T
184,F
185,T
186,T
187,T
188,T
189,F
190,F
191,F
192,F
193,F
194,T
195,F
196,T
197,T
198,T
199,F
200,F
201,F
202,T
203,F
204,T
205,F
206,T
207,T
208,T
209,T
210,F
211,T
212,T
213,F
214,F
215,F
216,T
217,F
218,F
219,F
220,F
221,T
222,T
223,T
224,F
225,F
226,T
227,F
228,T
229,F
230,T
231,T
232,T
233,T
234,F
235,T
236,F
237,T
238,F
239,T
240,T
241,T
242,F
243,T
244,T
245,T
246,F
247,F
248,T
249,T
250,T
251,F
252,T
253,T
254,T
255,F
256,T
257,T
258,T
259,F
260,F
261,T
262,F
263,F
264,F
265,F
266,F
267,F
268,F
269,T
270,T
271,T
272,T
273,F
274,F
275,F
276,F
277,T
278,T
279,F
280,T
281,F
282,F
283,F
284,F
285,T
286,T
287,F
288,T
289,T
290,F
291,T
292,T
293,T
294,T
295,T
296,T
297,T
298,F
299,F
300,F
301,T
302,T
303,F
304,T
305,F
306,F
307,F
308,T
309,F
310,F
311,T
312,F
313,T
314,F
315,F
316,T
317,T
318,T
319,T
320,T
321,T
322,T
323,T
324,T
325,T
326,T
327,T
328,T
329,T
330,T
331,T
332,F
333,T
334,T
335,F
336,F
337,F
338,T
339,F
340,T
341,F
342,F
343,T
344,F
345,F
346,F
347,F
348,F
349,F
350,F
351,T
352,T
353,T
354,F
355,F
356,T
357,T
358,T
359,T
360,T
361,T
362,T
363,F
364,T
365,T
366,F
367,T
368,F
369,T
370,F
371,F
372,F
373,T
374,T
375,F
376,T
377,F
378,T
379,T
380,F
381,T
382,F
383,T
384,T
385,F
386,T
387,T
388,F
389,F
390,F
391,T
392,T
393,T
394,F
395,T
396,F
397,T
398,T
399,T
400,T
401,F
402,T
403,T
404,F
405,T
406,F
407,F
408,F
409,F
410,T
411,F
412,F
413,T
414,T
415,T
416,T
417,T
418,T
419,T
420,F
421,T
422,F
423,F
424,T
425,T
426,T
427,T
428,T
429,F
430,T
