Question,Answer
1,F
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,F
11,T
12,F
13,F
14,F
15,F
16,T
17,T
18,T
19,T
20,T
21,T
22,T
23,T
24,F
25,T
26,F
27,T
28,F
29,T
30,F
31,T
32,F
33,F
34,T
35,T
36,F
37,T
38,F
39,T
40,T
41,T
42,F
43,T
44,F
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,F
53,F
54,F
55,T
56,F
57,T
58,F
59,T
60,T
61,F
62,F
63,F
64,F
65,T
66,T
67,F
68,F
69,T
70,T
71,T
72,T
73,T
74,F
75,F
76,T
77,T
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,T
87,F
88,F
89,F
90,T
91,T
92,T
93,T
94,F
95,T
96,T
97,F
98,F
99,T
100,T
101,F
102,F
103,T
104,T
105,F
106,T
107,F
108,T
109,T
110,T
111,F
112,F
113,T
114,T
115,T
116,T
117,T
118,T
119,T
120,F
121,F
122,F
123,T
124,F
125,F
126,F
127,F
128,T
129,F
130,T
131,F
132,T
133,T
134,F
135,T
136,T
137,T
138,T
139,T
140,F
141,T
142,T
143,T
144,T
145,T
146,F
147,F
148,T
149,F
150,F
