Question,Answer
1,T
2,T
3,F
4,T
5,T
6,T
7,T
8,F
9,T
10,T
11,T
12,F
13,T
14,F
15,T
16,T
17,T
18,T
19,T
20,T
21,T
22,T
23,F
24,T
25,F
26,T
27,F
28,T
29,T
30,T
31,T
32,T
33,F
34,F
35,T
36,T
37,T
38,T
39,T
40,T
41,T
42,T
43,T
44,F
45,T
46,T
47,F
48,T
49,T
50,T
51,F
52,F
53,T
54,T
55,T
56,F
57,T
58,T
59,T
60,T
61,F
62,T
63,F
64,F
65,F
66,T
67,T
68,F
69,F
70,T
71,T
72,T
73,T
74,T
75,F
76,T
77,T
78,F
79,T
80,F
81,T
82,F
83,T
84,T
85,F
86,T
87,F
88,T
89,T
90,T
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,F
99,F
100,T
101,T
102,T
103,F
104,T
105,T
106,T
107,T
108,F
109,F
110,F
111,T
112,T
113,F
114,T
115,F
116,T
117,T
118,F
119,T
120,F
121,F
122,F
123,F
124,T
125,F
126,T
127,T
128,T
129,T
130,T
131,T
132,F
133,F
134,T
135,T
136,T
137,T
138,F
139,T
140,T
141,T
142,T
143,F
144,T
145,F
146,T
147,T
148,F
149,T
150,T
151,T
152,T
153,F
154,T
155,F
156,T
157,T
158,T
159,T
160,F
161,T
162,T
163,F
164,T
165,T
166,T
167,T
168,T
169,T
170,F
171,F
172,T
173,T
174,T
175,F
176,T
177,T
178,T
179,T
180,T
181,T
182,F
183,T
184,T
185,T
186,T
187,F
188,T
189,F
190,T
191,F
192,T
193,F
194,T
195,F
196,T
197,F
198,T
199,T
200,F
201,T
202,T
203,T
204,F
205,T
206,T
207,T
208,T
209,T
210,F
211,T
212,F
213,T
214,T
215,T
216,T
217,T
218,F
219,T
220,F
221,T
222,F
223,T
224,F
225,T
226,T
227,T
228,T
229,T
230,T
231,T
232,T
233,T
234,T
235,F
236,T
237,T
238,T
239,F
240,F
241,T
242,T
243,T
244,T
245,T
246,F
247,T
248,F
249,T
250,T
251,T
252,T
253,F
254,T
255,T
256,T
257,T
258,T
259,T
260,F
261,T
262,T
263,F
264,T
265,T
266,T
267,T
