Question,Answer
1,T
2,T
3,T
4,F
5,T
6,T
7,F
8,T
9,T
10,T
11,T
12,T
13,F
14,T
15,T
16,T
17,T
18,F
19,T
20,T
21,T
22,T
23,T
24,T
25,F
26,T
27,F
28,T
29,T
30,F
31,T
32,T
33,F
34,T
35,F
36,F
37,T
38,T
39,T
40,T
41,T
42,F
43,T
44,T
45,F
46,F
47,T
48,T
49,F
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,T
59,F
60,T
61,T
62,F
63,F
64,T
65,T
66,T
67,T
68,T
69,T
70,T
71,T
72,T
73,T
74,F
75,T
76,F
77,T
78,F
79,T
80,F
81,T
82,T
83,F
84,T
85,T
86,F
87,T
88,F
89,T
90,T
91,F
92,T
93,T
94,F
95,T
96,T
97,T
98,T
99,T
100,T
101,T
102,T
103,T
104,T
105,T
106,T
107,T
108,T
109,F
110,T
111,T
112,F
113,F
114,T
115,F
116,T
117,T
118,T
119,T
120,T
121,T
122,T
123,T
124,T
125,T
126,T
127,T
128,T
129,T
130,F
131,F
132,T
133,F
134,T
135,T
136,T
137,T
138,F
139,T
140,T
141,T
142,T
143,F
144,T
145,T
146,T
147,T
148,T
149,T
150,T
151,F
152,F
153,F
154,F
155,T
156,T
157,T
158,T
159,T
160,F
161,T
162,T
163,T
164,F
165,T
166,T
167,T
168,T
169,F
170,F
171,T
172,T
173,T
174,T
175,F
176,T
177,T
178,F
179,F
180,T
181,T
182,F
183,F
184,T
185,F
186,T
187,F
188,T
189,F
190,F
191,T
192,F
193,T
194,T
195,F
196,T
197,F
198,F
199,T
200,T
201,T
202,T
203,F
204,T
205,F
206,T
207,F
208,T
209,T
210,T
211,T
212,T
213,F
214,T
215,T
216,F
217,T
218,T
219,T
220,T
221,F
222,F
223,T
224,F
225,F
226,T
227,F
228,F
229,T
230,T
231,T
232,T
233,F
234,T
235,T
236,T
237,T
238,T
239,T
240,T
241,T
242,F
243,F
244,T
245,T
246,F
247,T
248,T
249,T
250,T
251,F
252,T
253,T
254,T
255,T
256,T
257,T
258,F
259,F
260,T
261,T
262,T
263,F
264,F
265,T
266,F
267,T
268,F
269,T
270,F
271,T
272,T
273,T
274,T
275,T
276,T
277,T
278,T
279,F
280,F
281,T
282,F
283,T
284,F
285,F
286,T
287,F
288,F
289,F
290,F
291,T
292,F
293,T
294,T
295,F
296,T
297,T
298,T
299,F
300,F
301,F
302,T
303,T
304,T
305,T
306,T
307,T
308,T
309,F
310,T
311,T
312,T
313,T
314,T
315,F
316,F
317,T
318,F
319,T
320,T
321,T
322,T
323,F
324,F
325,T
326,T
327,F
328,F
329,T
330,T
331,T
332,T
333,F
334,F
335,T
336,T
337,F
338,T
339,T
340,T
341,T
342,F
343,T
344,F
345,T
346,T
347,T
348,T
349,F
350,F
351,T
352,T
353,T
354,F
355,T
356,F
357,T
358,T
359,T
360,F
361,F
362,T
363,T
364,F
365,T
366,T
367,T
368,T
369,F
370,T
371,T
372,T
373,T
374,T
375,F
376,T
377,F
378,F
379,T
380,T
381,T
382,F
383,T
384,F
385,T
386,F
387,F
388,T
389,T
390,T
391,T
392,F
393,T
394,T
395,F
396,F
397,T
398,F
399,T
400,T
401,T
402,F
403,T
404,T
405,F
406,F
407,T
408,T
409,T
410,F
411,F
412,F
413,T
414,T
415,T
416,F
417,T
418,T
419,T
420,T
421,T
422,F
423,T
424,T
425,F
426,F
427,F
428,F
429,T
430,F
431,T
432,T
433,F
434,T
435,T
436,T
437,T
438,T
439,F
440,F
441,F
442,F
443,T
444,F
445,F
446,T
447,T
448,F
449,T
450,T
451,F
452,T
453,T
454,F
455,T
456,T
457,F
458,F
459,F
460,T
461,T
462,F
463,T
464,T
465,F
466,F
467,F
468,F
469,F
470,T
471,T
472,F
473,F
474,T
475,T
476,F
477,T
478,T
479,T
480,T
481,T
482,T
483,T
484,T
485,T
486,F
487,T
488,T
489,T
490,F
491,T
492,T
493,F
494,F
495,T
496,T
497,F
498,T
499,T
500,T
