Question,Answer
1,F
2,T
3,F
4,F
5,T
6,T
7,F
8,T
9,T
10,F
11,T
12,T
13,F
14,F
15,T
16,F
17,T
18,F
19,F
20,F
21,F
22,T
23,T
24,T
25,T
26,F
27,F
28,F
29,F
30,T
31,T
32,T
33,F
34,F
35,T
36,T
37,F
38,T
39,T
40,T
41,F
42,F
43,F
44,F
45,T
46,T
47,T
48,T
49,T
50,F
51,T
52,T
53,F
54,F
55,T
56,T
57,T
58,F
59,T
60,F
61,T
62,F
63,F
64,F
65,F
66,F
67,F
68,F
69,T
70,T
71,T
72,F
73,F
74,F
75,T
76,F
77,F
78,F
79,T
80,F
81,F
82,F
83,T
84,T
85,F
86,T
87,T
88,T
89,T
90,F
91,T
92,T
93,T
94,T
95,T
96,F
97,T
98,T
99,T
100,T
101,F
102,T
103,T
104,T
105,F
106,F
107,F
108,F
109,T
110,F
111,F
112,T
113,F
114,F
115,T
116,F
117,F
118,F
119,F
120,T
121,T
122,F
123,F
124,T
125,F
126,F
127,F
128,F
129,F
130,T
131,T
132,F
133,T
134,F
135,F
136,T
137,T
138,F
139,T
140,F
141,F
142,F
143,T
144,T
145,F
146,F
147,T
148,F
149,T
150,T
151,F
152,T
153,T
154,F
155,T
156,F
157,T
158,F
159,T
160,T
161,T
162,F
163,F
164,T
165,F
166,F
167,T
168,F
169,F
170,T
171,T
172,T
173,F
174,T
175,F
176,F
177,T
178,F
179,F
180,F
181,T
182,T
183,T
184,T
185,F
186,T
187,F
188,T
189,T
190,F
191,F
192,F
193,T
194,T
195,F
196,T
197,T
198,T
199,F
200,F
201,F
202,T
203,T
204,F
205,T
206,F
207,F
208,T
209,T
210,T
211,F
212,F
213,T
214,T
215,F
216,T
217,T
218,F
219,F
220,F
221,T
222,F
223,T
224,T
225,F
226,F
227,T
228,F
229,T
230,F
231,F
232,F
233,T
234,T
235,T
236,T
237,F
238,T
239,F
240,T
241,T
242,F
243,F
244,F
245,F
246,F
247,F
248,T
249,T
250,F
251,T
252,T
253,T
254,F
255,F
256,F
257,T
258,F
259,F
260,T
261,T
262,T
263,T
264,T
265,T
266,F
267,F
268,T
269,T
270,F
271,T
272,F
273,F
274,F
275,F
276,T
277,T
278,T
279,T
280,F
281,F
282,T
283,F
284,F
285,T
286,F
287,T
288,T
289,T
290,F
291,F
292,T
293,F
294,T
295,F
296,T
297,T
298,F
299,F
300,T
301,F
302,F
303,F
304,T
305,F
306,F
307,F
308,F
309,F
310,T
311,T
312,F
313,F
314,F
315,T
316,F
317,F
318,T
319,F
320,F
321,F
322,F
323,F
324,T
325,T
326,T
327,T
328,T
329,T
330,T
331,F
332,F
333,F
334,T
335,T
336,T
337,T
338,T
339,T
340,T
341,F
342,F
343,T
344,F
345,F
346,F
347,T
348,T
349,T
350,T
351,F
352,F
353,F
354,T
355,F
356,T
357,T
358,T
359,F
360,T
361,F
362,F
363,T
364,F
365,F
366,F
367,T
368,T
369,F
370,F
371,F
372,T
373,T
374,T
375,T
376,T
377,T
378,T
379,T
380,T
381,T
382,F
383,T
384,T
385,T
386,F
387,F
388,F
389,T
390,T
391,F
392,F
393,F
394,T
395,T
396,T
397,F
398,T
399,T
400,F
401,T
402,F
403,F
404,F
405,F
406,T
407,T
408,T
409,T
410,F
411,F
412,F
413,F
414,T
415,T
416,F
417,F
418,T
419,F
420,F
421,T
422,F
423,T
424,F
425,T
426,T
427,T
428,T
429,T
430,T
431,F
432,T
433,F
434,T
435,F
436,F
437,F
438,T
439,T
440,T
441,F
442,F
443,F
444,F
445,F
446,T
447,T
448,T
449,F
450,T
451,F
452,T
453,T
454,T
455,T
456,T
457,T
458,T
459,F
460,F
461,T
462,T
463,F
464,F
465,F
466,T
467,T
468,T
469,F
470,F
471,T
472,T
473,F
474,F
475,F
476,T
477,F
478,T
479,F
480,T
481,T
482,F
483,T
484,T
485,F
486,T
487,F
488,T
489,T
490,F
491,F
492,T
493,T
494,F
495,T
496,T
497,T
498,F
499,F
500,T
501,T
502,F
503,F
504,T
505,T
506,F
507,F
508,F
509,F
510,T
511,F
512,T
513,T
514,T
515,T
516,F
517,F
518,T
519,F
520,F
521,F
522,F
523,F
524,F
525,T
526,T
527,F
528,F
529,F
530,F
531,T
532,T
533,F
534,F
535,T
536,T
537,F
538,F
539,F
540,T
541,T
542,F
543,F
544,T
545,F
546,F
547,F
548,T
549,T
550,T
551,T
552,T
553,T
554,F
555,F
556,F
557,F
558,F
559,T
560,T
561,T
562,T
563,T
564,T
565,T
566,T
567,T
568,T
569,T
570,F
571,T
572,F
573,F
574,T
575,F
576,F
577,F
578,T
579,T
580,T
581,F
582,T
583,T
584,F
585,F
586,T
587,T
588,T
589,F
590,T
591,F
592,T
593,T
594,F
595,F
596,T
597,F
598,T
599,F
600,F
601,T
602,F
603,F
604,T
605,T
606,F
607,F
608,T
609,T
610,F
611,F
612,F
613,T
614,T
615,F
616,T
617,F
618,T
619,F
620,F
621,T
622,T
623,T
624,T
625,T
626,F
627,F
628,F
629,F
630,F
631,T
632,T
633,T
634,T
635,T
636,F
637,T
638,F
639,T
640,F
641,F
642,T
643,T
644,T
645,T
646,T
647,F
648,F
649,F
650,T
651,F
652,F
653,F
654,F
655,T
656,F
657,F
658,F
659,F
660,T
661,F
662,F
663,T
664,T
665,F
666,F
667,T
668,T
669,T
670,T
671,F
672,F
673,F
674,T
675,T
676,T
677,T
678,T
679,T
680,T
681,T
682,T
683,T
684,T
685,T
686,T
687,F
688,T
689,T
690,T
691,T
692,T
693,F
694,T
695,T
696,F
697,T
698,T
699,F
700,F
