Question,Answer
1,T
2,T
3,T
4,F
5,T
6,T
7,T
8,T
9,F
10,T
11,T
12,F
13,T
14,T
15,F
16,F
17,T
18,T
19,T
20,F
21,T
22,F
23,T
24,T
25,F
26,F
27,F
28,T
29,F
30,T
31,T
32,T
33,T
34,T
35,F
36,T
37,T
38,T
39,T
40,T
41,T
42,F
43,T
44,T
45,T
46,T
47,F
48,T
49,T
50,F
51,T
52,T
53,T
54,T
55,F
56,T
57,T
58,T
59,F
60,T
61,F
62,F
63,T
64,T
65,T
66,T
67,T
68,T
69,T
70,T
71,T
72,T
73,T
74,T
75,T
76,T
77,T
78,T
79,F
80,T
81,T
82,F
83,T
84,T
85,F
86,T
87,F
88,T
89,F
90,T
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,F
99,T
100,F
101,T
102,F
103,T
104,T
105,F
106,F
107,F
108,T
109,F
110,T
111,T
112,T
113,T
114,F
115,T
116,T
117,T
118,T
119,F
120,F
121,T
122,F
123,T
124,F
125,T
126,T
127,T
128,F
129,T
130,T
131,F
132,F
133,F
134,T
135,T
136,T
137,T
138,T
139,T
140,T
141,T
142,T
143,F
144,T
145,F
146,F
147,F
148,T
149,T
150,T
151,F
152,T
153,T
154,F
155,F
156,T
157,F
158,T
159,F
160,T
161,T
162,F
163,F
164,F
165,F
166,T
167,F
168,F
169,T
170,T
171,F
172,T
173,F
174,F
175,T
176,F
177,F
178,T
179,T
180,F
181,T
182,T
183,F
184,T
185,T
186,T
187,T
188,T
189,T
190,T
191,F
192,T
193,T
194,F
195,F
196,T
197,T
198,F
199,T
200,T
201,F
202,F
203,F
204,T
205,T
206,F
207,T
208,F
209,F
210,F
211,F
212,T
213,T
214,F
215,T
216,T
217,F
218,F
219,F
220,T
221,T
222,F
223,F
224,T
225,T
226,F
227,T
228,T
229,F
230,T
231,F
232,F
233,F
234,T
235,F
236,T
237,T
238,F
239,T
240,T
241,T
242,T
243,T
244,T
245,T
246,T
247,T
248,T
249,T
250,F
251,F
252,F
253,T
254,T
255,T
256,T
257,F
258,T
259,T
260,F
261,T
262,W
263,F
264,F
265,T
266,T
267,T
268,T
269,F
270,F
271,T
272,F
273,F
274,T
275,F
276,F
277,T
278,T
279,T
280,F
281,F
282,F
283,F
284,T
285,F
286,T
287,T
288,F
289,T
290,T
291,T
292,F
293,T
294,T
295,T
296,F
297,T
298,T
299,T
300,F
