Question,Answer
1,F
2,F
3,F
4,T
5,F
6,F
7,T
8,T
9,F
10,F
11,T
12,T
13,T
14,T
15,T
16,F
17,F
18,T
19,T
20,T
21,F
22,F
23,F
24,T
25,T
26,T
27,T
28,F
29,T
30,F
31,T
32,T
33,T
34,T
35,F
36,F
37,T
38,T
39,T
40,T
41,F
42,F
43,F
44,F
45,F
46,F
47,F
48,F
49,F
50,F
51,F
52,T
53,T
54,T
55,T
56,F
57,F
58,F
59,F
60,T
61,F
62,T
63,T
64,T
65,F
66,F
67,T
68,T
69,T
70,F
71,F
72,T
73,T
74,F
75,T
76,F
77,F
78,T
79,T
80,T
81,T
82,F
83,F
84,T
85,F
86,F
87,T
88,T
89,T
90,T
91,F
92,F
93,T
94,T
95,T
96,T
97,F
98,T
99,F
100,F
101,F
102,T
103,F
104,T
105,T
106,T
107,T
108,F
109,F
110,F
111,T
112,T
113,T
114,F
115,T
116,T
117,T
118,T
119,F
120,T
121,T
122,T
123,F
124,F
125,T
126,T
127,T
128,T
129,T
130,T
131,F
132,F
133,T
134,T
135,F
136,T
137,T
138,T
139,T
140,F
141,F
142,T
143,T
144,F
145,F
146,T
147,T
148,T
149,F
150,T
151,T
152,T
153,T
154,T
155,F
156,T
157,T
158,F
159,T
160,T
161,T
162,T
163,T
164,T
165,F
166,T
167,F
168,T
169,F
170,T
171,F
172,F
173,T
174,T
175,T
176,F
177,F
178,T
179,T
180,T
181,F
182,T
183,T
184,T
185,T
186,F
187,T
188,F
189,T
190,T
191,F
192,T
193,T
194,F
195,F
196,T
197,T
198,T
199,T
200,F
201,F
202,F
203,F
204,F
205,F
206,F
207,T
208,F
209,T
210,F
211,F
212,T
213,T
214,F
215,T
216,T
217,F
218,T
219,F
220,T
221,T
222,T
223,T
224,T
225,F
226,F
227,T
228,T
229,T
230,F
231,F
232,F
233,T
234,T
235,T
236,F
237,F
238,F
239,T
240,F
241,T
242,T
243,T
244,F
245,F
246,F
247,T
248,T
249,T
250,T
251,T
252,T
253,F
254,T
255,F
256,F
257,T
258,T
259,T
260,F
261,F
262,F
263,F
264,F
265,T
266,T
267,T
268,T
269,F
270,T
271,T
272,T
273,T
274,T
275,T
276,T
277,T
278,T
279,F
280,F
281,F
282,T
283,F
284,T
285,T
286,F
287,F
288,T
289,T
290,F
291,F
292,T
293,F
294,T
295,F
296,F
297,F
298,T
299,T
300,T
