Question,Answer
1,F
2,F
3,T
4,T
5,F
6,F
7,T
8,F
9,F
10,F
11,F
12,T
13,T
14,T
15,F
16,F
17,F
18,F
19,F
20,T
21,T
22,T
23,T
24,T
25,T
26,T
27,F
28,T
29,F
30,T
31,F
32,T
33,T
34,F
35,T
36,F
37,T
38,T
39,F
40,T
41,F
42,T
43,F
44,F
45,F
46,F
47,T
48,T
49,F
50,T
51,T
52,F
53,T
54,F
55,F
56,T
57,T
58,T
59,F
60,T
61,T
62,T
63,F
64,F
65,T
66,T
67,F
68,F
69,T
70,T
71,F
72,F
73,F
74,T
75,T
76,T
77,T
78,T
79,T
80,F
81,F
82,T
83,T
84,T
85,F
86,T
87,T
88,T
89,F
90,F
91,T
92,F
93,T
94,T
95,F
96,F
97,F
98,T
99,F
100,F
101,F
102,T
103,T
104,T
105,T
106,F
107,F
108,F
109,T
110,T
111,T
112,T
113,T
114,F
115,F
116,T
117,T
118,T
119,T
120,T
121,T
122,F
123,T
124,T
125,T
126,F
127,T
128,F
129,T
130,F
131,F
132,F
133,F
134,F
135,F
136,T
137,F
138,T
139,T
140,T
141,T
142,T
143,T
144,T
145,F
146,T
147,F
148,F
149,T
150,F
151,F
152,T
153,T
154,T
155,T
156,T
157,F
158,T
159,T
160,F
161,T
162,F
163,F
164,F
165,T
166,T
167,T
168,T
169,T
170,F
171,F
172,F
173,F
174,T
175,T
176,T
177,T
178,T
179,T
180,T
181,F
182,F
183,T
184,T
185,F
186,F
187,F
188,T
189,T
190,T
191,T
192,T
193,T
194,T
195,T
196,F
197,F
198,T
199,T
200,F
