Question,Answer
1,T
2,T
3,F
4,T
5,F
6,F
7,F
8,T
9,T
10,T
11,T
12,F
13,F
14,T
15,F
16,T
17,F
18,F
19,T
20,F
21,T
22,T
23,T
24,T
25,F
26,F
27,F
28,F
29,F
30,T
31,T
32,T
33,F
34,F
35,F
36,T
37,T
38,T
39,F
40,T
41,T
42,T
43,F
44,F
45,T
46,F
47,T
48,F
49,T
50,F
51,F
52,F
53,T
54,T
55,F
56,T
57,T
58,F
59,T
60,F
61,F
62,T
63,T
64,T
65,F
66,F
67,T
68,T
69,F
70,T
71,T
72,T
73,T
74,T
75,T
76,F
77,T
78,T
79,T
80,T
81,F
82,F
83,T
84,T
85,T
86,F
87,F
88,T
89,T
90,T
91,F
92,F
93,F
94,T
95,F
96,F
97,T
98,T
99,F
100,F
101,F
102,F
103,T
104,F
105,T
106,T
107,T
108,T
109,F
110,F
111,T
112,T
113,F
114,T
115,T
116,T
117,F
118,T
119,T
120,F
121,T
122,F
123,T
124,F
125,T
126,F
127,F
128,T
129,T
130,T
131,T
132,T
133,T
134,F
135,F
136,T
137,F
138,T
139,T
140,T
141,T
142,T
143,T
144,T
145,F
146,T
147,T
148,T
149,T
150,F
151,T
152,T
153,T
154,T
155,F
156,T
157,T
158,T
159,T
160,T
161,T
162,F
163,T
164,F
165,T
166,F
167,F
168,F
169,F
170,T
171,T
172,F
173,T
174,F
175,T
176,T
177,F
178,T
179,F
180,F
181,F
182,F
183,T
184,F
185,T
186,T
187,T
188,T
189,T
190,T
191,F
192,T
193,F
194,F
195,T
196,F
197,T
198,T
199,F
200,F
201,F
202,T
203,F
204,F
205,T
206,T
207,F
208,F
209,T
210,F
211,T
212,T
213,T
214,T
215,F
216,T
217,T
218,F
219,T
220,F
221,F
222,F
223,T
224,F
225,F
226,T
227,T
228,F
229,T
230,T
231,T
232,F
233,F
234,T
235,T
236,F
237,F
238,F
239,T
240,T
241,F
242,T
243,F
244,T
245,F
246,T
247,F
248,T
249,T
250,T
251,F
252,F
253,T
254,T
255,T
256,F
257,T
258,T
259,F
260,F
261,F
262,T
263,F
264,T
265,F
266,F
267,F
268,T
269,F
270,T
271,T
272,T
273,T
274,T
275,F
276,F
277,F
278,F
279,T
280,F
281,F
282,T
283,T
284,F
285,F
286,F
287,T
288,F
289,T
290,F
291,T
292,F
293,T
294,T
295,T
296,F
297,F
298,F
299,T
300,T
301,T
302,F
303,T
304,T
305,T
306,T
307,F
308,T
309,T
310,F
311,F
312,F
313,F
314,T
315,T
316,F
317,F
318,T
319,T
320,F
321,T
322,F
323,F
324,T
325,T
326,T
327,F
328,F
329,F
330,F
331,F
332,T
333,T
334,F
335,F
336,T
337,T
338,F
339,T
340,T
341,F
342,F
343,F
344,F
345,T
346,T
347,T
348,T
349,T
350,F
351,T
352,F
353,F
354,F
355,T
356,T
357,F
358,T
359,T
360,F
361,F
362,T
363,F
364,F
365,F
366,F
367,T
368,T
369,F
370,T
371,F
372,T
373,T
374,F
375,F
376,F
377,T
378,T
379,F
380,F
381,F
382,T
383,T
384,T
385,T
386,T
387,F
388,F
389,T
390,T
391,F
392,T
393,T
394,F
395,F
396,T
397,T
398,T
399,F
400,F
401,F
402,T
403,T
404,F
405,T
406,T
407,F
408,T
409,F
410,T
411,F
412,F
413,F
414,T
415,T
416,T
417,F
418,F
419,F
420,T
421,F
422,T
423,T
424,T
425,T
426,T
427,F
428,F
429,T
430,F
431,F
432,T
433,F
434,F
435,T
436,T
437,T
438,T
439,T
440,T
441,T
442,T
443,F
444,F
445,T
446,T
447,F
448,F
449,T
450,F
451,T
452,T
453,F
454,F
455,T
456,T
457,F
458,T
459,F
460,T
461,F
462,T
463,F
464,T
465,T
466,T
467,T
468,T
469,T
470,F
471,T
472,T
473,T
474,T
475,T
476,T
477,F
478,T
479,F
480,T
481,T
482,F
483,T
484,F
485,F
486,T
487,T
488,F
489,T
490,T
491,F
492,F
493,T
494,F
495,F
496,F
497,F
498,F
499,T
500,F
501,T
502,T
503,T
504,F
505,F
506,F
507,T
508,F
509,F
510,T
511,F
512,F
513,F
514,F
515,F
516,T
517,T
518,T
519,F
520,T
521,F
522,F
523,T
524,F
525,T
526,F
527,F
528,F
529,T
530,T
531,T
532,F
533,F
534,F
535,F
536,T
537,T
538,T
539,F
540,T
541,T
542,T
543,T
544,T
545,F
546,T
547,T
548,T
549,T
550,F
