Question,Answer
1,T
2,F
3,T
4,T
5,T
6,T
7,F
8,T
9,T
10,T
11,T
12,T
13,F
14,F
15,T
16,F
17,F
18,T
19,T
20,F
21,F
22,F
23,F
24,F
25,T
26,T
27,F
28,T
29,T
30,T
31,T
32,T
33,T
34,F
35,T
36,F
37,T
38,T
39,F
40,T
41,T
42,F
43,T
44,T
45,F
46,F
47,F
48,T
49,F
50,F
51,T
52,F
53,T
54,T
55,T
56,T
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,F
66,T
67,F
68,T
69,T
70,F
71,T
72,F
73,T
74,T
75,T
76,T
77,T
78,F
79,T
80,T
81,T
82,F
83,T
84,T
85,T
86,F
87,T
88,F
89,T
90,T
91,T
92,F
93,T
94,F
95,F
96,F
97,T
98,T
99,T
100,F
101,F
102,T
103,F
104,T
105,T
106,F
107,T
108,T
109,F
110,T
111,T
112,T
113,T
114,T
115,F
116,T
117,F
118,F
119,F
120,F
121,F
122,T
123,T
124,T
125,F
126,F
127,T
128,F
129,T
130,T
131,T
132,F
133,F
134,T
135,T
136,T
137,T
138,F
139,T
140,F
141,T
142,T
143,F
144,F
145,F
146,F
147,F
148,T
149,T
150,T
151,F
152,T
153,F
154,F
155,T
156,T
157,T
158,T
159,F
160,T
161,T
162,F
163,F
164,T
165,T
166,T
167,F
168,F
169,T
170,T
171,T
172,F
173,T
174,T
175,T
176,T
177,T
178,T
179,F
180,F
181,T
182,T
183,F
184,T
185,F
186,T
187,F
188,T
189,T
190,T
191,F
192,F
193,F
194,T
195,T
196,T
197,T
198,T
199,T
200,T
201,T
202,T
203,T
204,T
205,F
206,T
207,T
208,F
209,F
210,T
211,T
212,T
213,T
214,T
215,F
216,T
217,F
218,T
219,T
220,F
221,T
222,T
223,T
224,F
225,F
226,F
227,F
228,F
229,F
230,T
231,T
232,T
233,F
234,T
235,T
236,T
237,T
238,F
239,T
240,F
241,T
242,T
243,F
244,F
245,T
246,F
247,F
248,T
249,F
250,T
251,T
252,T
253,F
254,T
255,F
256,T
257,T
258,F
259,F
260,T
261,F
262,T
263,T
264,F
265,T
266,F
267,T
268,T
269,T
270,F
271,T
272,T
273,T
274,F
275,F
276,T
277,F
278,F
279,T
280,T
281,F
282,F
283,F
284,F
285,T
286,T
287,F
288,F
289,F
290,F
291,F
292,T
293,F
294,F
295,F
296,T
297,F
298,T
299,F
300,F
301,F
302,T
303,T
304,T
305,T
306,T
307,T
308,F
309,T
310,F
311,F
312,T
313,F
314,T
315,F
316,F
317,F
318,T
319,T
320,F
321,F
322,F
323,T
324,F
325,T
326,T
327,T
328,T
329,F
330,F
331,T
332,T
333,F
334,T
335,T
336,T
337,T
338,T
339,F
340,F
341,F
342,T
343,F
344,T
345,T
346,T
347,F
348,F
349,T
350,F
351,F
352,T
353,T
354,T
355,T
356,T
357,T
358,T
359,F
360,T
361,T
362,F
363,F
364,F
365,F
366,T
367,T
368,T
369,F
370,F
371,T
372,T
373,F
374,F
375,T
376,F
377,T
378,F
379,T
380,T
381,T
382,F
383,T
384,T
385,F
386,T
387,T
388,T
389,F
390,F
391,F
392,F
393,T
394,F
395,F
396,F
397,T
398,T
399,T
400,F
401,T
402,T
403,T
404,F
405,F
406,T
407,F
408,T
409,T
410,T
411,F
412,T
413,T
414,T
415,F
416,T
417,T
418,T
419,F
420,F
421,T
422,F
423,F
424,F
425,T
426,T
427,T
428,T
429,T
430,F
431,F
432,F
433,T
434,T
435,F
436,T
437,F
438,T
439,F
440,T
441,T
442,T
443,T
444,F
445,F
446,T
447,T
448,T
449,T
450,F
451,T
452,T
453,T
454,F
455,T
456,T
457,T
458,T
459,T
460,F
461,F
462,T
463,F
464,T
465,T
466,T
467,F
468,F
469,F
470,F
471,T
472,T
473,T
474,T
475,T
476,F
477,T
478,F
479,T
480,F
481,T
482,T
483,F
484,F
485,F
486,T
487,T
488,F
489,F
490,T
491,T
492,T
493,T
494,T
495,F
496,F
497,F
498,T
499,T
500,T
501,F
502,T
503,F
504,F
505,T
506,F
507,F
508,F
509,F
510,T
511,F
512,F
513,T
514,T
515,F
516,T
517,T
518,F
519,F
520,F
521,T
522,F
523,F
524,T
525,F
526,T
527,F
528,F
529,F
530,T
531,F
532,T
533,F
534,T
535,T
536,F
537,F
538,T
539,F
540,F
541,T
542,T
543,T
544,T
545,F
546,F
547,F
548,F
549,T
550,F
551,T
552,T
553,T
554,F
555,T
556,F
557,T
558,F
559,F
560,F
561,F
562,T
563,T
564,T
565,T
566,F
567,F
568,F
569,T
570,T
571,F
572,F
573,F
574,F
575,T
576,F
577,F
578,T
579,F
580,F
581,F
582,F
583,F
584,F
585,T
586,F
587,F
588,T
589,F
590,F
591,T
592,F
593,T
594,F
595,F
596,T
597,F
598,T
599,F
600,T
